file_name,label,label_name
0.png,37,Go straight or left
1.png,27,Pedestrians
2.png,38,Keep right
3.png,28,Children crossing
4.png,42,End of no passing by vehicles over 3.5 metric tons
5.png,4,Speed limit (70km/h)
6.png,7,Speed limit (100km/h)
7.png,29,Bicycles crossing
8.png,17,No entry
9.png,23,Slippery road
10.png,33,Turn right ahead
11.png,39,Keep left
12.png,17,No entry
13.png,41,End of no passing
14.png,33,Turn right ahead
15.png,28,Children crossing
16.png,14,Stop
17.png,18,General caution
18.png,35,Ahead only
19.png,41,End of no passing
20.png,6,End of speed limit (80km/h)
21.png,28,Children crossing
22.png,5,Speed limit (80km/h)
23.png,31,Wild animals crossing
24.png,26,Traffic signals
25.png,4,Speed limit (70km/h)
26.png,33,Turn right ahead
27.png,34,Turn left ahead
28.png,12,Priority road
29.png,13,Yield
30.png,31,Wild animals crossing
31.png,24,Road narrows on the right
32.png,8,Speed limit (120km/h)
33.png,8,Speed limit (120km/h)
34.png,13,Yield
35.png,0,Speed limit (20km/h)
36.png,31,Wild animals crossing
37.png,14,Stop
38.png,20,Dangerous curve to the right
39.png,2,Speed limit (50km/h)
40.png,39,Keep left
41.png,28,Children crossing
42.png,1,Speed limit (30km/h)
43.png,40,Roundabout mandatory
44.png,3,Speed limit (60km/h)
45.png,34,Turn left ahead
46.png,1,Speed limit (30km/h)
47.png,37,Go straight or left
48.png,25,Road work
49.png,17,No entry
50.png,11,Right-of-way at the next intersection
51.png,41,End of no passing
52.png,9,No passing
53.png,5,Speed limit (80km/h)
54.png,17,No entry
55.png,4,Speed limit (70km/h)
56.png,25,Road work
57.png,28,Children crossing
58.png,31,Wild animals crossing
59.png,4,Speed limit (70km/h)
60.png,11,Right-of-way at the next intersection
61.png,42,End of no passing by vehicles over 3.5 metric tons
62.png,40,Roundabout mandatory
63.png,28,Children crossing
64.png,21,Double curve
65.png,14,Stop
66.png,34,Turn left ahead
67.png,12,Priority road
68.png,21,Double curve
69.png,4,Speed limit (70km/h)
70.png,24,Road narrows on the right
71.png,6,End of speed limit (80km/h)
72.png,25,Road work
73.png,39,Keep left
74.png,22,Bumpy road
75.png,18,General caution
76.png,36,Go straight or right
77.png,3,Speed limit (60km/h)
78.png,37,Go straight or left
79.png,23,Slippery road
80.png,11,Right-of-way at the next intersection
81.png,1,Speed limit (30km/h)
82.png,38,Keep right
83.png,15,No vehicles
84.png,30,Beware of ice/snow
85.png,20,Dangerous curve to the right
86.png,3,Speed limit (60km/h)
87.png,8,Speed limit (120km/h)
88.png,1,Speed limit (30km/h)
89.png,5,Speed limit (80km/h)
90.png,16,Vehicles over 3.5 metric tons prohibited
91.png,33,Turn right ahead
92.png,40,Roundabout mandatory
93.png,22,Bumpy road
94.png,5,Speed limit (80km/h)
95.png,38,Keep right
96.png,14,Stop
97.png,37,Go straight or left
98.png,4,Speed limit (70km/h)
99.png,9,No passing
100.png,20,Dangerous curve to the right
101.png,1,Speed limit (30km/h)
102.png,35,Ahead only
103.png,5,Speed limit (80km/h)
104.png,42,End of no passing by vehicles over 3.5 metric tons
105.png,28,Children crossing
106.png,26,Traffic signals
107.png,21,Double curve
108.png,42,End of no passing by vehicles over 3.5 metric tons
109.png,28,Children crossing
110.png,16,Vehicles over 3.5 metric tons prohibited
111.png,22,Bumpy road
112.png,10,No passing for vehicles over 3.5 metric tons
113.png,31,Wild animals crossing
114.png,9,No passing
115.png,16,Vehicles over 3.5 metric tons prohibited
116.png,6,End of speed limit (80km/h)
117.png,20,Dangerous curve to the right
118.png,8,Speed limit (120km/h)
119.png,35,Ahead only
120.png,23,Slippery road
121.png,14,Stop
122.png,17,No entry
123.png,26,Traffic signals
124.png,27,Pedestrians
125.png,18,General caution
126.png,37,Go straight or left
127.png,15,No vehicles
128.png,13,Yield
129.png,20,Dangerous curve to the right
130.png,17,No entry
131.png,13,Yield
132.png,19,Dangerous curve to the left
133.png,40,Roundabout mandatory
134.png,33,Turn right ahead
135.png,10,No passing for vehicles over 3.5 metric tons
136.png,25,Road work
137.png,8,Speed limit (120km/h)
138.png,31,Wild animals crossing
139.png,2,Speed limit (50km/h)
140.png,1,Speed limit (30km/h)
141.png,42,End of no passing by vehicles over 3.5 metric tons
142.png,6,End of speed limit (80km/h)
143.png,19,Dangerous curve to the left
144.png,29,Bicycles crossing
145.png,17,No entry
146.png,28,Children crossing
147.png,23,Slippery road
148.png,15,No vehicles
149.png,18,General caution
150.png,2,Speed limit (50km/h)
151.png,23,Slippery road
152.png,38,Keep right
153.png,30,Beware of ice/snow
154.png,1,Speed limit (30km/h)
155.png,9,No passing
156.png,25,Road work
157.png,36,Go straight or right
158.png,40,Roundabout mandatory
159.png,31,Wild animals crossing
160.png,24,Road narrows on the right
161.png,10,No passing for vehicles over 3.5 metric tons
162.png,35,Ahead only
163.png,7,Speed limit (100km/h)
164.png,3,Speed limit (60km/h)
165.png,5,Speed limit (80km/h)
166.png,41,End of no passing
167.png,32,End of all speed and passing limits
168.png,12,Priority road
169.png,24,Road narrows on the right
170.png,29,Bicycles crossing
171.png,24,Road narrows on the right
172.png,31,Wild animals crossing
173.png,19,Dangerous curve to the left
174.png,37,Go straight or left
175.png,25,Road work
176.png,29,Bicycles crossing
177.png,10,No passing for vehicles over 3.5 metric tons
178.png,24,Road narrows on the right
179.png,1,Speed limit (30km/h)
180.png,20,Dangerous curve to the right
181.png,2,Speed limit (50km/h)
182.png,42,End of no passing by vehicles over 3.5 metric tons
183.png,4,Speed limit (70km/h)
184.png,35,Ahead only
185.png,16,Vehicles over 3.5 metric tons prohibited
186.png,5,Speed limit (80km/h)
187.png,40,Roundabout mandatory
188.png,12,Priority road
189.png,28,Children crossing
190.png,2,Speed limit (50km/h)
191.png,19,Dangerous curve to the left
192.png,7,Speed limit (100km/h)
193.png,0,Speed limit (20km/h)
194.png,1,Speed limit (30km/h)
195.png,41,End of no passing
196.png,1,Speed limit (30km/h)
197.png,37,Go straight or left
198.png,28,Children crossing
199.png,37,Go straight or left
200.png,39,Keep left
201.png,30,Beware of ice/snow
202.png,30,Beware of ice/snow
203.png,9,No passing
204.png,10,No passing for vehicles over 3.5 metric tons
205.png,42,End of no passing by vehicles over 3.5 metric tons
206.png,25,Road work
207.png,19,Dangerous curve to the left
208.png,7,Speed limit (100km/h)
209.png,33,Turn right ahead
210.png,3,Speed limit (60km/h)
211.png,18,General caution
212.png,5,Speed limit (80km/h)
213.png,19,Dangerous curve to the left
214.png,24,Road narrows on the right
215.png,34,Turn left ahead
216.png,23,Slippery road
217.png,7,Speed limit (100km/h)
218.png,4,Speed limit (70km/h)
219.png,38,Keep right
220.png,25,Road work
221.png,11,Right-of-way at the next intersection
222.png,22,Bumpy road
223.png,1,Speed limit (30km/h)
224.png,18,General caution
225.png,9,No passing
226.png,4,Speed limit (70km/h)
227.png,14,Stop
228.png,15,No vehicles
229.png,1,Speed limit (30km/h)
230.png,2,Speed limit (50km/h)
231.png,30,Beware of ice/snow
